route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
1,AFA25GEN-1038-Sunday-00_000600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_002600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_004600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_006600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_007200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_008600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_009200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_010600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_011200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_012600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_013200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_014600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_015200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_016600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_017200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_018600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_019200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_020600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_021200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_022600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_023200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_024600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_025200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_026600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_027200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_028600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_029200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_030600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_031200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_032600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_033200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_034600_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_035200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_036450_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_037200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_038350_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_039200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_040250_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_041200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_041850_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_043200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_043400_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_044750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_045200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_045750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_046750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_047200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_047750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_048750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_048850_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_049750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_050200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_050750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_051400_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_051750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_052650_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_052750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_053750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_053850_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_054750_1..S03R,Sunday,South Ferry,1,1..S03R
1,AFA25GEN-1038-Sunday-00_055050_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,AFA25GEN-1038-Sunday-00_055750_1..S03R,Sunday,South Ferry,1,1..S03R
