route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
A,MTA NYCT,A,8 Avenue Express,"Trains operate between Inwood-207 St, Manhattan and Far Rockaway-Mott Av, Queens at all times. Also, from about 6 AM until about midnight, additional trains operate between Inwood-207 St and Ozone Park-Lefferts Blvd (trains typically alternate between Ozone Park and Far Rockaway). During weekday morning rush hours, special trains operate from Rockaway Park-Beach 116 St, Queens, toward Manhattan. These trains make local stops in Queens between Rockaway Park and Broad Channel. Similarly, in the evening, rush hour special trains leave Manhattan operating toward Rockaway Park-Beach 116 St.",1,https://www.mta.info/schedules/subway/a-train,0062CF,FFFFFF,1
C,MTA NYCT,C,8 Avenue Local,"Trains operate between 168 St, Manhattan, and Euclid Av, Brooklyn, daily from about 6 AM to 11 PM.",1,https://www.mta.info/schedules/subway/c-train,0062CF,FFFFFF,2
E,MTA NYCT,E,8 Avenue Local,"Trains operate between Jamaica Center-Parsons/Archer, Queens, and World Trade Center, Manhattan, at all times. E trains operate express in Queens at all times except late nights when they operate local.",1,https://www.mta.info/schedules/subway/e-train,0062CF,FFFFFF,3
B,MTA NYCT,B,6 Avenue Express,"Trains operate, weekdays only, between 145 St, Manhattan, and Brighton Beach, Brooklyn at all times except late nights. During rush hours and middays, some trips are extended to Bedford Park Blvd, Bronx.",1,https://www.mta.info/schedules/subway/b-train,EB6800,FFFFFF,4
D,MTA NYCT,D,6 Avenue Express,"Trains operate, at all times, from Norwood-205 St, Bronx, to Coney Island-Stillwell Av, Brooklyn via Central Park West and 6 Avenue in Manhattan, and via the Manhattan Bridge to and from Brooklyn. When in Brooklyn, trains operate via 4 Avenue, then through Bensonhurst to Coney Island. Trains typically operate local in the Bronx, express in Manhattan, and local in Brooklyn. Note that Bronx rush hour trains operate express (peak direction only), and Brooklyn trains operate express along the 4 Avenue segment (all times except late nights).",1,https://www.mta.info/schedules/subway/d-train,EB6800,FFFFFF,5
F,MTA NYCT,F,Queens Blvd Express/6 Av Local,"Trains operate at all times between Jamaica-179 St, Queens, and Coney Island-Stillwell Av, Brooklyn. On weekdays, trains operate via 53 St (serving Queens Plaza, Court Sq-23 St, Lexington Av/53 St, and 5 Av/53). During nights and weekends trains operate via 63 St (serving 21 St-Queensbridge, Roosevelt Island, Lexington Av/63 St, and 57 St). F trains operate local in Manhattan and express in Queens at all times except late nights when they operate local.",1,https://www.mta.info/schedules/subway/f-train,EB6800,FFFFFF,6
FX,MTA NYCT,FX,Brooklyn F Express,"Trains operate rush hour only between Jamaica-179 St, Queens, and Coney Island-Stillwell Av, Brooklyn, weekday mornings toward Manhattan, weekday afternoons toward Coney Island. These trains operate express in Brooklyn between Church Av and Jay St-MetroTech for two trips each rush hour period.",1,https://www.mta.info/schedules/subway/f-train,EB6800,FFFFFF,7
M,MTA NYCT,M,Queens Blvd Local/6 Av Local,"Trains operate weekdays between Middle Village-Metropolitan Av, Queens and Forest Hills-71 Av, Queens. Weekends, M trains operate from Middle Village to Delancey St-Essex St, Manhattan, and late nights from Middle Village to Myrtle Av (Broadway), Brooklyn. All trains provide local service.",1,https://www.mta.info/schedules/subway/m-train,EB6800,FFFFFF,8
G,MTA NYCT,G,Brooklyn-Queens Crosstown,"Trains operate between Court Sq, Queens and Church Av, Brooklyn at all times.",1,https://www.mta.info/schedules/subway/g-train,799534,FFFFFF,9
J,MTA NYCT,J,Nassau St Local,"Trains operate weekdays between Jamaica Center-Parsons/Archer, Queens, and Broad St, Manhattan at all times. During weekdays, trains going to Manhattan run express in Brooklyn between Myrtle Av and Marcy Av from about 7 AM to 1 PM and from Manhattan from 1:30 PM and 8 PM. During weekday rush hours, trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs toward Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",1,https://www.mta.info/schedules/subway/j-train,8E5C33,FFFFFF,10
Z,MTA NYCT,Z,Nassau St Express,"Trains operate weekday rush hours only. During weekday rush hours, J and Z trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs towards Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",1,https://www.mta.info/schedules/subway/j-train,8E5C33,FFFFFF,11
L,MTA NYCT,L,14 St-Canarsie Local,"Trains operate between 8 Av, Manhattan, and Canarsie-Rockaway Pkwy, Brooklyn, at all times.",1,https://www.mta.info/schedules/subway/l-train,7C858C,FFFFFF,12
