Service,Day of Week,Hour,TPH,Avg. Wait
1,Saturday,0,3,20.0
1,Saturday,1,3,20.0
1,Saturday,2,3,20.0
1,Saturday,3,3,20.0
1,Saturday,4,3,20.0
1,Saturday,5,6,10.0
1,Saturday,6,7,9.0
1,Saturday,7,8,8.0
1,Saturday,8,7,9.0
1,Saturday,9,9,7.0
1,Saturday,10,10,6.0
1,Saturday,11,10,6.0
1,Saturday,12,10,6.0
1,Saturday,13,10,6.0
1,Saturday,14,10,6.0
1,Saturday,15,10,6.0
1,Saturday,16,10,6.0
1,Saturday,17,10,6.0
1,Saturday,18,10,6.0
1,Saturday,19,10,6.0
1,Saturday,20,10,6.0
1,Saturday,21,10,6.0
1,Saturday,22,7,9.0
1,Saturday,23,7,9.0
1,Sunday,0,3,20.0
1,Sunday,1,3,20.0
1,Sunday,2,3,20.0
1,Sunday,3,3,20.0
1,Sunday,4,3,20.0
1,Sunday,5,3,20.0
1,Sunday,6,4,15.0
1,Sunday,7,5,12.0
1,Sunday,8,6,10.0
1,Sunday,9,7,9.0
1,Sunday,10,9,7.0
1,Sunday,11,10,6.0
1,Sunday,12,10,6.0
1,Sunday,13,10,6.0
1,Sunday,14,10,6.0
1,Sunday,15,10,6.0
1,Sunday,16,10,6.0
1,Sunday,17,8,8.0
1,Sunday,18,7,9.0
1,Sunday,19,8,8.0
1,Sunday,20,7,9.0
1,Sunday,21,6,10.0
1,Sunday,22,5,12.0
1,Sunday,23,4,15.0
1,Weekday,0,3,20.0
1,Weekday,1,3,20.0
1,Weekday,2,3,20.0
1,Weekday,3,3,20.0
1,Weekday,4,4,15.0
1,Weekday,5,7,9.0
1,Weekday,6,9,7.0
1,Weekday,7,15,4.0
1,Weekday,8,16,4.0
1,Weekday,9,13,5.0
1,Weekday,10,11,6.0
1,Weekday,11,10,6.0
1,Weekday,12,10,6.0
1,Weekday,13,10,6.0
1,Weekday,14,11,6.0
1,Weekday,15,12,5.0
1,Weekday,16,15,4.0
1,Weekday,17,15,4.0
1,Weekday,18,15,4.0
1,Weekday,19,14,4.0
1,Weekday,20,12,5.0
1,Weekday,21,9,7.0
1,Weekday,22,6,10.0
1,Weekday,23,5,12.0
2,Saturday,0,3,20.0
2,Saturday,1,3,20.0
2,Saturday,2,3,20.0
2,Saturday,3,3,20.0
2,Saturday,4,3,20.0
2,Saturday,5,4,15.0
2,Saturday,6,8,8.0
2,Saturday,7,7,9.0
2,Saturday,8,8,8.0
